Código;Descripción
11101;Cultivo De Trigo 
11102;Cultivo De Maíz
11103;Cultivo De Avena
11104;Cultivo De Cebada
11105;Cultivo De Otros Cereales (Excepto Trigo, Maíz, Avena Y Cebada)
11106;Cultivo De Porotos
11107;Cultivo De Lupino
11108;Cultivo De Otras Legumbres (Excepto Porotos Y Lupino)
11109;Cultivo De Semillas De Raps
11110;Cultivo De Semillas De Maravilla (Girasol)
11111;Cultivo De Semillas De Cereales, Legumbres Y Oleaginosas (Excepto Semillas De Raps Y Maravilla)
11200;Cultivo De Arroz
11301;Cultivo De Papas
11302;Cultivo De Camotes
11303;Cultivo De Otros Tubérculos (Excepto Papas Y Camotes)
11304;Cultivo De Remolacha Azucarera
11305;Cultivo De Semillas De Hortalizas
11306;Cultivo De Hortalizas Y Melones 
11400;Cultivo De Caña De Azúcar
11500;Cultivo De Tabaco
11600;Cultivo De Plantas De Fibra
11901;Cultivo De Flores
11902;"Cultivos Forrajeros En Praderas Mejoradas O Sembradas; Cultivos Suplementarios Forrajeros"
11903;"Cultivos De Semillas De Flores; Cultivo De Semillas De Plantas Forrajeras"
12111;Cultivo De Uva Destinada A La Producción De Pisco Y Aguardiente
12112;Cultivo De Uva Destinada A La Producción De Vino
12120;Cultivo De Uva Para Mesa
12200;Cultivo De Frutas Tropicales Y Subtropicales (Incluye El Cultivo De Paltas)
12300;Cultivo De Cítricos
12400;Cultivo De Frutas De Pepita Y De Hueso
12501;Cultivo De Semillas De Frutas
12502;Cultivo De Otros Frutos Y Nueces De Árboles Y Arbustos
12600;Cultivo De Frutos Oleaginosos (Incluye El Cultivo De Aceitunas)
12700;Cultivo De Plantas Con Las Que Se Preparan Bebidas (Incluye El Cultivo De Café, Té Y Mate)
12801;Cultivo De Especias
12802;Cultivo De Plantas Aromáticas, Medicinales Y Farmacéuticas
12900;Cultivo De Otras Plantas Perennes
13000;Cultivo De Plantas Vivas Incluida La Producción En Viveros (Excepto Viveros Forestales)
14101;Cría De Ganado Bovino Para La Producción Lechera
14102;Cría De Ganado Bovino Para La Producción De Carne O Como Ganado Reproductor
14200;Cría De Caballos Y Otros Equinos
14300;Cría De Llamas, Alpacas, Vicuñas, Guanacos Y Otros Camélidos
14410;Cría De Ovejas (Ovinos)
14420;Cría De Cabras (Caprinos)
14500;Cría De Cerdos
14601;Cría De Aves De Corral Para La Producción De Carne
14602;Cría De Aves De Corral Para La Producción De Huevos
14901;Apicultura
14909;Cría De Otros Animales N.C.P.
15000;Cultivo De Productos Agrícolas En Combinación Con La Cría De Animales (Explotación Mixta)
16100;Actividades De Apoyo A La Agricultura
16200;Actividades De Apoyo A La Ganadería
16300;Actividades Poscosecha
16400;Tratamiento De Semillas Para Propagación
17000;Caza Ordinaria Y Mediante Trampas Y Actividades De Servicios Conexas
21001;Explotación De Viveros Forestales
21002;Silvicultura Y Otras Actividades Forestales (Excepto Explotación De Viveros Forestales)
22000;Extracción De Madera
23000;Recolección De Productos Forestales Distintos De La Madera
24001;Servicios De Forestación A Cambio De Una Retribución O Por Contrata
24002;Servicios De Corta De Madera A Cambio De Una Retribución O Por Contrata
24003;Servicios De Extinción Y Prevención De Incendios Forestales
24009;Otros Servicios De Apoyo A La Silvicultura N.C.P.
31110;Pesca Marítima Industrial, Excepto De Barcos Factoría
31120;Pesca Marítima Artesanal
31130;Recolección Y Extracción De Productos Marinos
31140;Servicios Relacionados Con La Pesca Marítima
31200;Pesca De Agua Dulce
32110;Cultivo Y Crianza De Peces Marinos
32120;Cultivo, Reproducción Y Manejo De Algas Marinas
32130;Reproducción Y Cría De Moluscos, Crustáceos Y Gusanos Marinos
32140;Servicios Relacionados Con La Acuicultura Marina
32200;Acuicultura De Agua Dulce
40000;Extracción Y Procesamiento De Cobre
51000;Extracción De Carbón De Piedra
52000;Extracción De Lignito
61000;Extracción De Petróleo Crudo
62000;Extracción De Gas Natural
71000;Extracción De Minerales De Hierro
72100;Extracción De Minerales De Uranio Y Torio
72910;Extracción De Oro Y Plata
72991;Extracción De Zinc Y Plomo
72992;Extracción De Manganeso
72999;Extracción De Otros Minerales Metalíferos No Ferrosos N.C.P. (Excepto Zinc, Plomo Y Manganeso)
81000;Extracción De Piedra, Arena Y Arcilla
89110;Extracción Y Procesamiento De Litio
89190;Extracción De Minerales Para La Fabricación De Abonos Y Productos Químicos N.C.P.
89200;Extracción De Turba
89300;Extracción De Sal
89900;Explotación De Otras Minas Y Canteras N.C.P.
91001;Actividades De Apoyo Para La Extracción De Petróleo Y Gas Natural Prestados Por Empresas
91002;Actividades De Apoyo Para La Extracción De Petróleo Y Gas Natural Prestados Por Profesionales
99001;Actividades De Apoyo Para La Explotación De Otras Minas Y Canteras Prestados Por Empresas
99002;Actividades De Apoyo Para La Explotación De Otras Minas Y Canteras Prestados Por Profesionales
101011;Explotación De Mataderos De Bovinos, Ovinos, Equinos, Caprinos, Porcinos Y Camélidos 
101019;Explotación De Mataderos De Aves Y De Otros Tipos De Animales N.C.P.
101020;Elaboración Y Conservación De Carne Y Productos Cárnicos
102010;Producción De Harina De Pescado
102020;Elaboración Y Conservación De Salmónidos
102030;Elaboración Y Conservación De Otros Pescados, En Plantas En Tierra (Excepto Barcos Factoría)
102040;Elaboración Y Conservación De Crustáceos, Moluscos Y Otros Productos Acuáticos, En Plantas En Tierra
102050;Actividades De Elaboración Y Conservación De Pescado, Realizadas En Barcos Factoría
102060;Elaboración Y Procesamiento De Algas
103000;Elaboración Y Conservación De Frutas, Legumbres Y Hortalizas
104000;Elaboración De Aceites Y Grasas De Origen Vegetal Y Animal (Excepto Elaboración De Mantequilla)
105000;Elaboración De Productos Lácteos
106101;Molienda De Trigo: Producción De Harina, Sémola Y Gránulos
106102;"Molienda De Arroz; Producción De Harina De Arroz"
106109;Elaboración De Otros Productos De Molinería N.C.P.
106200;Elaboración De Almidones Y Productos Derivados Del Almidón
107100;Elaboración De Productos De Panadería Y Pastelería
107200;Elaboración De Azúcar
107300;Elaboración De Cacao, Chocolate Y De Productos De Confitería
107400;Elaboración De Macarrones, Fideos, Alcuzcuz Y Productos Farináceos Similares
107500;Elaboración De Comidas Y Platos Preparados Envasados, Rotulados Y Con Información Nutricional
107901;Elaboración De Té, Café, Mate E Infusiones De Hierbas
107902;Elaboración De Levaduras Naturales O Artificiales
107903;Elaboración De Vinagres, Mostazas, Mayonesas Y Condimentos En General
107909;Elaboración De Otros Productos Alimenticios N.C.P.
108000;Elaboración De Piensos Preparados Para Animales
110110;Elaboración De Pisco (Industrias Pisqueras)
110120;"Destilación, Rectificación Y Mezclas De Bebidas Alcohólicas; Excepto Pisco"
110200;Elaboración De Vinos
110300;Elaboración De Bebidas Malteadas Y De Malta
110401;Elaboración De Bebidas No Alcohólicas
110402;Producción De Aguas Minerales Y Otras Aguas Embotelladas
120001;Elaboración De Cigarros Y Cigarrillos
120009;Elaboración De Otros Productos De Tabaco N.C.P.
131100;Preparación E Hilatura De Fibras Textiles
131200;Tejedura De Productos Textiles
131300;Acabado De Productos Textiles
139100;Fabricación De Tejidos De Punto Y Ganchillo
139200;Fabricación De Artículos Confeccionados De Materiales Textiles, Excepto Prendas De Vestir
139300;Fabricación De Tapices Y Alfombras
139400;Fabricación De Cuerdas, Cordeles, Bramantes Y Redes
139900;Fabricación De Otros Productos Textiles N.C.P.
141001;Fabricación De Prendas De Vestir De Materiales Textiles Y Similares
141002;Fabricación De Prendas De Vestir De Cuero Natural O Artificial
141003;Fabricación De Accesorios De Vestir
141004;Fabricación De Ropa De Trabajo
142000;Fabricación De Artículos De Piel
143000;Fabricación De Artículos De Punto Y Ganchillo
151100;"Curtido Y Adobo De Cueros; Adobo Y Teñido De Pieles"
151200;Fabricación De Maletas, Bolsos Y Artículos Similares, Artículos De Talabartería Y Guarnicionería
152000;Fabricación De Calzado
161000;Aserrado Y Acepilladura De Madera
162100;Fabricación De Hojas De Madera Para Enchapado Y Tableros A Base De Madera
162200;Fabricación De Partes Y Piezas De Carpintería Para Edificios Y Construcciones
162300;Fabricación De Recipientes De Madera
162900;Fabricación De Otros Productos De Madera, De Artículos De Corcho, Paja Y Materiales Trenzables
170110;Fabricación De Celulosa Y Otras Pastas De Madera
170190;Fabricación De Papel Y Cartón Para Su Posterior Uso Industrial N.C.P.
170200;Fabricación De Papel Y Cartón Ondulado Y De Envases De Papel Y Cartón
170900;Fabricación De Otros Artículos De Papel Y Cartón
181101;Impresión De Libros
181109;Otras Actividades De Impresión N.C.P.
181200;Actividades De Servicios Relacionadas Con La Impresión
182000;Reproducción De Grabaciones
191000;Fabricación De Productos De Hornos De Coque
192000;Fabricación De Productos De La Refinación Del Petróleo
201101;"Fabricación De Carbón Vegetal (Excepto Activado); Fabricación De Briquetas De Carbón Vegetal"
201109;Fabricación De Otras Sustancias Químicas Básicas N.C.P.
201200;Fabricación De Abonos Y Compuestos De Nitrógeno
201300;Fabricación De Plásticos Y Caucho Sintético En Formas Primarias
202100;Fabricación De Plaguicidas Y Otros Productos Químicos De Uso Agropecuario
202200;Fabricación De Pinturas, Barnices Y Productos De Revestimiento, Tintas De Imprenta Y Masillas
202300;Fabricación De Jabones Y Detergentes, Preparados Para Limpiar, Perfumes Y Preparados De Tocador
202901;Fabricación De Explosivos Y Productos Pirotécnicos
202909;Fabricación De Otros Productos Químicos N.C.P.
203000;Fabricación De Fibras Artificiales
210000;Fabricación De Productos Farmacéuticos, Sustancias Químicas Medicinales Y Productos Botánicos
221100;"Fabricación De Cubiertas Y Cámaras De Caucho; Recauchutado Y Renovación De Cubiertas De Caucho"
221900;Fabricación De Otros Productos De Caucho
222000;Fabricación De Productos De Plástico
231001;Fabricación De Vidrio Plano
231002;Fabricación De Vidrio Hueco
231003;Fabricación De Fibras De Vidrio
231009;Fabricación De Productos De Vidrio N.C.P.
239100;Fabricación De Productos Refractarios
239200;Fabricación De Materiales De Construcción De Arcilla
239300;Fabricación De Otros Productos De Porcelana Y De Cerámica
239400;Fabricación De Cemento, Cal Y Yeso
239500;Fabricación De Artículos De Hormigón, Cemento Y Yeso
239600;Corte, Talla Y Acabado De La Piedra
239900;Fabricación De Otros Productos Minerales No Metálicos N.C.P.
241000;Industrias Básicas De Hierro Y Acero
242001;Fabricación De Productos Primarios De Cobre
242002;Fabricación De Productos Primarios De Aluminio
242009;Fabricación De Productos Primarios De Metales Preciosos Y De Otros Metales No Ferrosos N.C.P.
243100;Fundición De Hierro Y Acero
243200;Fundición De Metales No Ferrosos
251100;Fabricación De Productos Metálicos Para Uso Estructural
251201;Fabricación De Recipientes De Metal Para Gases Comprimidos O Licuados
251209;Fabricación De Tanques, Depósitos Y Recipientes De Metal N.C.P.
251300;Fabricación De Generadores De Vapor, Excepto Calderas De Agua Caliente Para Calefacción Central
252000;Fabricación De Armas Y Municiones
259100;"Forja, Prensado, Estampado Y Laminado De Metales; Pulvimetalurgia"
259200;"Tratamiento Y Revestimiento De Metales; Maquinado"
259300;Fabricación De Artículos De Cuchillería, Herramientas De Mano Y Artículos De Ferretería
259900;Fabricación De Otros Productos Elaborados De Metal N.C.P.
261000;Fabricación De Componentes Y Tableros Electrónicos
262000;Fabricación De Computadores Y Equipo Periférico
263000;Fabricación De Equipo De Comunicaciones
264000;Fabricación De Aparatos Electrónicos De Consumo
265100;Fabricación De Equipo De Medición, Prueba, Navegación Y Control
265200;Fabricación De Relojes
266000;Fabricación De Equipo De Irradiación Y Equipo Electrónico De Uso Médico Y Terapéutico
267000;Fabricación De Instrumentos Ópticos Y Equipo Fotográfico
268000;Fabricación De Soportes Magnéticos Y Ópticos
271000;Fabricación De Motores, Generadores Y Transformadores Eléctricos, Aparatos De Distribución Y Control
272000;Fabricación De Pilas, Baterías Y Acumuladores
273100;Fabricación De Cables De Fibra Óptica
273200;Fabricación De Otros Hilos Y Cables Eléctricos
273300;Fabricación De Dispositivos De Cableado
274000;Fabricación De Equipo Eléctrico De Iluminación
275000;Fabricación De Aparatos De Uso Doméstico
279000;Fabricación De Otros Tipos De Equipo Eléctrico
281100;Fabricación De Motores Y Turbinas, Excepto Para Aeronaves, Vehículos Automotores Y Motocicletas
281200;Fabricación De Equipo De Propulsión De Fluidos
281300;Fabricación De Otras Bombas, Compresores, Grifos Y Válvulas
281400;Fabricación De Cojinetes, Engranajes, Trenes De Engranajes Y Piezas De Transmisión
281500;Fabricación De Hornos, Calderas Y Quemadores
281600;Fabricación De Equipo De Elevación Y Manipulación
281700;Fabricación De Maquinaria Y Equipo De Oficina (Excepto Computadores Y Equipo Periférico)
281800;Fabricación De Herramientas De Mano Motorizadas
281900;Fabricación De Otros Tipos De Maquinaria De Uso General
282100;Fabricación De Maquinaria Agropecuaria Y Forestal
282200;Fabricación De Maquinaria Para La Conformación De Metales Y De Máquinas Herramienta
282300;Fabricación De Maquinaria Metalúrgica
282400;Fabricación De Maquinaria Para La Explotación De Minas Y Canteras Y Para Obras De Construcción
282500;Fabricación De Maquinaria Para La Elaboración De Alimentos, Bebidas Y Tabaco
282600;Fabricación De Maquinaria Para La Elaboración De Productos Textiles, Prendas De Vestir Y Cueros
282900;Fabricación De Otros Tipos De Maquinaria De Uso Especial
291000;Fabricación De Vehículos Automotores
292000;"Fabricación De Carrocerías Para Vehículos Automotores; Fabricación De Remolques Y Semirremolques"
293000;Fabricación De Partes, Piezas Y Accesorios Para Vehículos Automotores
301100;Construcción De Buques, Embarcaciones Menores Y Estructuras Flotantes
301200;Construcción De Embarcaciones De Recreo Y De Deporte
302000;Fabricación De Locomotoras Y Material Rodante
303000;Fabricación De Aeronaves, Naves Espaciales Y Maquinaria Conexa
304000;Fabricación De Vehículos Militares De Combate
309100;Fabricación De Motocicletas
309200;Fabricación De Bicicletas Y De Sillas De Ruedas
309900;Fabricación De Otros Tipos De Equipo De Transporte N.C.P.
310001;Fabricación De Muebles Principalmente De Madera
310009;"Fabricación De Colchones; Fabricación De Otros Muebles N.C.P."
321100;Fabricación De Joyas Y Artículos Conexos
321200;Fabricación De Bisutería Y Artículos Conexos
322000;Fabricación De Instrumentos Musicales
323000;Fabricación De Artículos De Deporte
324000;Fabricación De Juegos Y Juguetes
325001;Actividades De Laboratorios Dentales
325009;Fabricación De Instrumentos Y Materiales Médicos, Oftalmológicos Y Odontológicos N.C.P.
329000;Otras Industrias Manufactureras N.C.P.
331100;Reparación De Productos Elaborados De Metal
331201;Reparación De Maquinaria Agropecuaria Y Forestal
331202;Reparación De Maquinaria Metalúrgica, Para La Minería, Extracción De Petróleo Y Para La Construcción
331203;Reparación De Maquinaria Para La Elaboración De Alimentos, Bebidas Y Tabaco
331204;Reparación De Maquinaria Para Producir Textiles, Prendas De Vestir, Artículos De Cuero Y Calzado  
331209;Reparación De Otro Tipo De Maquinaria Y Equipos Industriales N.C.P.
331301;Reparación De Equipo De Medición, Prueba, Navegación Y Control
331309;Reparación De Otros Equipos Electrónicos Y Ópticos N.C.P.
331400;Reparación De Equipo Eléctrico (Excepto Reparación De Equipo Y Enseres Domésticos)
331501;Reparación De Buques, Embarcaciones Menores Y Estructuras Flotantes
331502;Reparación De Aeronaves Y Naves Espaciales
331509;Reparación De Otros Equipos De Transporte N.C.P., Excepto Vehículos Automotores
331900;Reparación De Otros Tipos De Equipo
332000;Instalación De Maquinaria Y Equipos Industriales
351011;Generación De Energía Eléctrica En Centrales Hidroeléctricas
351012;Generación De Energía Eléctrica En Centrales Termoeléctricas
351019;Generación De Energía Eléctrica En Otras Centrales N.C.P.
351020;Transmisión De Energía Eléctrica
351030;Distribución De Energía Eléctrica
352010;Regasificación De Gas Natural Licuado (Gnl)
352020;"Fabricación De Gas; Distribución De Combustibles Gaseosos Por Tubería, Excepto Regasificación De Gnl"
353001;Suministro De Vapor Y De Aire Acondicionado
353002;Elaboración De Hielo (Excepto Fabricación De Hielo Seco)
360000;Captación, Tratamiento Y Distribución De Agua
370000;Evacuación Y Tratamiento De Aguas Servidas
381100;Recogida De Desechos No Peligrosos
381200;Recogida De Desechos Peligrosos
382100;Tratamiento Y Eliminación De Desechos No Peligrosos
382200;Tratamiento Y Eliminación De Desechos Peligrosos
383001;Recuperación Y Reciclamiento De Desperdicios Y Desechos Metálicos
383002;Recuperación Y Reciclamiento De Papel
383003;Recuperación Y Reciclamiento De Vidrio
383009;Recuperación Y Reciclamiento De Otros Desperdicios Y Desechos N.C.P.
390000;Actividades De Descontaminación Y Otros Servicios De Gestión De Desechos
410010;Construcción De Edificios Para Uso Residencial
410020;Construcción De Edificios Para Uso No Residencial
421000;Construcción De Carreteras Y Líneas De Ferrocarril
422000;Construcción De Proyectos De Servicio Público
429000;Construcción De Otras Obras De Ingeniería Civil
431100;Demolición
431200;Preparación Del Terreno
432100;Instalaciones Eléctricas
432200;Instalaciones De Gasfitería, Calefacción Y Aire Acondicionado
432900;Otras Instalaciones Para Obras De Construcción
433000;Terminación Y Acabado De Edificios
439000;Otras Actividades Especializadas De Construcción
451001;Venta Al Por Mayor De Vehículos Automotores
451002;Venta Al Por Menor De Vehículos Automotores Nuevos O Usados (Incluye Compraventa)
452001;Servicio De Lavado De Vehículos Automotores
452002;Mantenimiento Y Reparación De Vehículos Automotores
453000;Venta De Partes, Piezas Y Accesorios Para Vehículos Automotores
454001;Venta De Motocicletas
454002;Venta De Partes, Piezas Y Accesorios De Motocicletas
454003;Mantenimiento Y Reparación De Motocicletas
461001;Corretaje Al Por Mayor De Productos Agrícolas
461002;Corretaje Al Por Mayor De Ganado
461009;Otros Tipos De Corretajes O Remates Al Por Mayor N.C.P.
462010;Venta Al Por Mayor De Materias Primas Agrícolas
462020;Venta Al Por Mayor De Animales Vivos
462090;Venta Al Por Mayor De Otras Materias Primas Agropecuarias N.C.P.
463011;Venta Al Por Mayor De Frutas Y Verduras
463012;Venta Al Por Mayor De Carne Y Productos Cárnicos
463013;Venta Al Por Mayor De Productos Del Mar (Pescados, Mariscos Y Algas)
463014;Venta Al Por Mayor De Productos De Confitería
463019;Venta Al Por Mayor De Huevos, Lácteos, Abarrotes Y De Otros Alimentos N.C.P.
463020;Venta Al Por Mayor De Bebidas Alcohólicas Y No Alcohólicas
463030;Venta Al Por Mayor De Tabaco
464100;Venta Al Por Mayor De Productos Textiles, Prendas De Vestir Y Calzado
464901;Venta Al Por Mayor De Muebles, Excepto Muebles De Oficina
464902;Venta Al Por Mayor De Artículos Eléctricos Y Electrónicos Para El Hogar
464903;Venta Al Por Mayor De Artículos De Perfumería, De Tocador Y Cosméticos
464904;Venta Al Por Mayor De Artículos De Papelería Y Escritorio
464905;Venta Al Por Mayor De Libros
464906;Venta Al Por Mayor De Diarios Y Revistas
464907;Venta Al Por Mayor De Productos Farmacéuticos Y Medicinales 
464908;Venta Al Por Mayor De Instrumentos Científicos Y Quirúrgicos
464909;Venta Al Por Mayor De Otros Enseres Domésticos N.C.P.
465100;Venta Al Por Mayor De Computadores, Equipo Periférico Y Programas Informáticos
465200;Venta Al Por Mayor De Equipo, Partes Y Piezas Electrónicos Y De Telecomunicaciones
465300;Venta Al Por Mayor De Maquinaria, Equipo Y Materiales Agropecuarios
465901;Venta Al Por Mayor De Maquinaria Metalúrgica, Para La Minería, Extracción De Petróleo Y Construcción
465902;Venta Al Por Mayor De Maquinaria Para La Elaboración De Alimentos, Bebidas Y Tabaco
465903;Venta Al Por Mayor De Maquinaria Para La Industria Textil, Del Cuero Y Del Calzado
465904;"Venta Al Por Mayor De Maquinaria Y Equipo De Oficina; Venta Al Por Mayor De Muebles De Oficina"
465905;Venta Al Por Mayor De Equipo De Transporte(Excepto Vehículos Automotores, Motocicletas Y Bicicletas)
465909;Venta Al Por Mayor De Otros Tipos De Maquinaria Y Equipo N.C.P.
466100;Venta Al Por Mayor De Combustibles Sólidos, Líquidos Y Gaseosos Y Productos Conexos
466200;Venta Al Por Mayor De Metales Y Minerales Metalíferos
466301;Venta Al Por Mayor De Madera En Bruto Y Productos Primarios De La Elaboración De Madera
466302;Venta Al Por Mayor De Materiales De Construcción, Artículos De Ferretería, Gasfitería Y Calefacción
466901;Venta Al Por Mayor De Productos Químicos
466902;Venta Al Por Mayor De Desechos Metálicos (Chatarra)
466909;Venta Al Por Mayor De Desperdicios, Desechos Y Otros Productos N.C.P.
469000;Venta Al Por Mayor No Especializada
471100;Venta Al Por Menor En Comercios De Alimentos, Bebidas O Tabaco (Supermercados E Hipermercados)
471910;Venta Al Por Menor En Comercios De Vestuario Y Productos Para El Hogar (Grandes Tiendas)
