Código;Descripción
471990;Otras Actividades De Venta Al Por Menor En Comercios No Especializados N.C.P.
472101;Venta Al Por Menor De Alimentos En Comercios Especializados (Almacenes Pequeños Y Minimarket)
472102;Venta Al Por Menor En Comercios Especializados De Carne Y Productos Cárnicos 
472103;Venta Al Por Menor En Comercios Especializados De Frutas Y Verduras (Verdulerías)
472104;Venta Al Por Menor En Comercios Especializados De Pescado, Mariscos Y Productos Conexos
472105;Venta Al Por Menor En Comercios Especializados De Productos De Panadería Y Pastelería
472109;Venta Al Por Menor En Comercios Especializados De Huevos, Confites Y Productos Alimenticios N.C.P.
472200;Venta Al Por Menor De Bebidas Alcohólicas Y No Alcohólicas En Comercios Especializados (Botillerías)
472300;Venta Al Por Menor De Tabaco Y Productos De Tabaco En Comercios Especializados
473000;Venta Al Por Menor De Combustibles Para Vehículos Automotores En Comercios Especializados
474100;Venta Al Por Menor De Computadores, Equipo Periférico, Programas Informáticos Y Equipo De Telecom.
474200;Venta Al Por Menor De Equipo De Sonido Y De Video En Comercios Especializados
475100;Venta Al Por Menor De Telas, Lanas, Hilos Y Similares En Comercios Especializados
475201;Venta Al Por Menor De Artículos De Ferretería Y Materiales De Construcción 
475202;Venta Al Por Menor De Pinturas, Barnices Y Lacas En Comercios Especializados
475203;Venta Al Por Menor De Productos De Vidrio En Comercios Especializados
475300;Venta Al Por Menor De Tapices, Alfombras Y Cubrimientos Para Paredes Y Pisos
475901;Venta Al Por Menor De Muebles Y Colchones En Comercios Especializados
475902;Venta Al Por Menor De Instrumentos Musicales En Comercios Especializados
475909;Venta Al Por Menor De Aparatos Eléctricos, Textiles Para El Hogar Y Otros Enseres Domésticos N.C.P.
476101;Venta Al Por Menor De Libros En Comercios Especializados
476102;Venta Al Por Menor De Diarios Y Revistas En Comercios Especializados
476103;Venta Al Por Menor De Artículos De Papelería Y Escritorio En Comercios Especializados
476200;Venta Al Por Menor De Grabaciones De Música Y De Video En Comercios Especializados
476301;Venta Al Por Menor De Artículos De Caza Y Pesca En Comercios Especializados
476302;Venta Al Por Menor De Bicicletas Y Sus Repuestos En Comercios Especializados
476309;Venta Al Por Menor De Otros Artículos Y Equipos De Deporte N.C.P.
476400;Venta Al Por Menor De Juegos Y Juguetes En Comercios Especializados
477101;Venta Al Por Menor De Calzado En Comercios Especializados
477102;Venta Al Por Menor De Prendas Y Accesorios De Vestir En Comercios Especializados
477103;Venta Al Por Menor De Carteras, Maletas Y Otros Accesorios De Viaje En Comercios Especializados
477201;Venta Al Por Menor De Productos Farmacéuticos Y Medicinales En Comercios Especializados
477202;Venta Al Por Menor De Artículos Ortopédicos En Comercios Especializados
477203;Venta Al Por Menor De Artículos De Perfumería, De Tocador Y Cosméticos En Comercios Especializados
477310;Venta Al Por Menor De Gas Licuado En Bombonas (Cilindros) En Comercios Especializados
477391;Venta Al Por Menor De Alimento Y Accesorios Para Mascotas En Comercios Especializados
477392;Venta Al Por Menor De Armas Y Municiones En Comercios Especializados
477393;Venta Al Por Menor De Artículos Ópticos En Comercios Especializados
477394;Venta Al Por Menor De Artículos De Joyería, Bisutería Y Relojería En Comercios Especializados
477395;Venta Al Por Menor De Carbón, Leña Y Otros Combustibles De Uso Doméstico En Comercios Especializados
477396;Venta Al Por Menor De Recuerdos, Artesanías Y Artículos Religiosos En Comercios Especializados
477397;Venta Al Por Menor De Flores, Plantas, Arboles, Semillas Y Abonos En Comercios Especializados
477398;Venta Al Por Menor De Mascotas En Comercios Especializados
477399;Venta Al Por Menor De Otros Productos En Comercios Especializados N.C.P.
477401;Venta Al Por Menor De Antigüedades En Comercios
477402;Venta Al Por Menor De Ropa Usada En Comercios
477409;Venta Al Por Menor De Otros Artículos De Segunda Mano En Comercios N.C.P.
478100;Venta Al Por Menor De Alimentos, Bebidas Y Tabaco En Puestos De Venta Y Mercados (Incluye Ferias)
478200;Venta Al Por Menor De Productos Textiles, Prendas De Vestir Y Calzado En Puestos De Venta Y Mercados
478900;Venta Al Por Menor De Otros Productos En Puestos De Venta Y Mercados (Incluye Ferias)
479100;Venta Al Por Menor Por Correo, Por Internet Y Vía Telefónica
479901;Venta Al Por Menor Realizada Por Independientes En La Locomoción Colectiva (Ley 20.388)
479902;Venta Al Por Menor Mediante Maquinas Expendedoras
479903;Venta Al Por Menor Por Comisionistas (No Dependientes De Comercios)
479909;Otras Actividades De Venta Por Menor No Realizadas En Comercios, Puestos De Venta O Mercados N.C.P.
491100;Transporte Interurbano De Pasajeros Por Ferrocarril
491200;Transporte De Carga Por Ferrocarril
492110;Transporte Urbano Y Suburbano De Pasajeros Vía Metro Y Metrotren
492120;Transporte Urbano Y Suburbano De Pasajeros Vía Locomoción Colectiva
492130;Transporte De Pasajeros Vía Taxi Colectivo
492190;Otras Actividades De Transporte Urbano Y Suburbano De Pasajeros Por Vía Terrestre N.C.P.
492210;Servicios De Transporte De Escolares
492220;Servicios De Transporte De Trabajadores
492230;Servicios De Transporte De Pasajeros En Taxis Libres Y Radiotaxis
492240;Servicios De Transporte A Turistas
492250;Transporte De Pasajeros En Buses Interurbanos 
492290;Otras Actividades De Transporte De Pasajeros Por Vía Terrestre N.C.P.
492300;Transporte De Carga Por Carretera
493010;Transporte Por Oleoductos
493020;Transporte Por Gasoductos
493090;Otras Actividades De Transporte Por Tuberías N.C.P.
501100;Transporte De Pasajeros Marítimo Y De Cabotaje
501200;Transporte De Carga Marítimo Y De Cabotaje
502100;Transporte De Pasajeros Por Vías De Navegación Interiores
502200;Transporte De Carga Por Vías De Navegación Interiores
511000;Transporte De Pasajeros Por Vía Aérea
512000;Transporte De Carga Por Vía Aérea
521001;Explotación De Frigoríficos Para Almacenamiento Y Depósito
521009;Otros Servicios De Almacenamiento Y Depósito N.C.P.
522110;Explotación De Terminales Terrestres De Pasajeros
522120;Explotación De Estacionamientos De Vehículos Automotores Y Parquímetros
522130;Servicios Prestados Por Concesionarios De Carreteras
522190;Actividades De Servicios Vinculadas Al Transporte Terrestre N.C.P.
522200;Actividades De Servicios Vinculadas Al Transporte Acuático
522300;Actividades De Servicios Vinculadas Al Transporte Aéreo
522400;Manipulación De La Carga
522910;Agencias De Aduanas
522920;Agencias De Naves
522990;Otras Actividades De Apoyo Al Transporte N.C.P.
531000;Actividades Postales
532000;Actividades De Mensajería
551001;Actividades De Hoteles
551002;Actividades De Moteles
551003;Actividades De Residenciales Para Turistas
551009;Otras Actividades De Alojamiento Para Turistas N.C.P.
552000;Actividades De Camping Y De Parques Para Casas Rodantes
559001;Actividades De Residenciales Para Estudiantes Y Trabajadores 
559009;Otras Actividades De Alojamiento N.C.P.
561000;Actividades De Restaurantes Y De Servicio Móvil De Comidas
562100;Suministro De Comidas Por Encargo (Servicios De Banquetería)
562900;"Suministro Industrial De Comidas Por Encargo; Concesión De Servicios De Alimentación "
563001;Actividades De Discotecas Y Cabaret (Night Club), Con Predominio Del Servicio De Bebidas
563009;Otras Actividades De Servicio De Bebidas N.C.P.
581100;Edición De Libros
581200;Edición De Directorios Y Listas De Correo
581300;Edición De Diarios, Revistas Y Otras Publicaciones Periódicas
581900;Otras Actividades De Edición
582000;Edición De Programas Informáticos
591100;Actividades De Producción De Películas Cinematográficas, Videos Y Programas De Televisión
591200;Actividades De Postproducción De Películas Cinematográficas, Videos Y Programas De Televisión
591300;Actividades De Distribución De Películas Cinematográficas, Videos Y Programas De Televisión
591400;Actividades De Exhibición De Películas Cinematográficas Y Cintas De Video
592000;Actividades De Grabación De Sonido Y Edición De Música
601000;Transmisiones De Radio
602000;Programación Y Transmisiones De Televisión
611010;Telefonía Fija
611020;Telefonía Larga Distancia
611030;Televisión De Pago Por Cable
611090;Otros Servicios De Telecomunicaciones Alámbricas N.C.P.
612010;Telefonía Móvil Celular
612020;Radiocomunicaciones Móviles
612030;Televisión De Pago Inalámbrica
612090;Otros Servicios De Telecomunicaciones Inalámbricas N.C.P.
613010;Telefonía Móvil Satelital
613020;Televisión De Pago Satelital
613090;Otros Servicios De Telecomunicaciones Por Satélite N.C.P.
619010;Centros De Llamados Y Centros De Acceso A Internet
619090;Otras Actividades De Telecomunicaciones N.C.P.
620100;Actividades De Programación Informática
620200;Actividades De Consultoría De Informática Y De Gestión De Instalaciones Informáticas
620900;Otras Actividades De Tecnología De La Información Y De Servicios Informáticos
631100;Procesamiento De Datos, Hospedaje Y Actividades Conexas
631200;Portales Web
639100;Actividades De Agencias De Noticias
639900;Otras Actividades De Servicios De Información N.C.P.
641100;Banca Central
641910;Actividades Bancarias
641990;Otros Tipos De Intermediación Monetaria N.C.P.
642000;Actividades De Sociedades De Cartera
643000;Fondos Y Sociedades De Inversión Y Entidades Financieras Similares
649100;Leasing Financiero
649201;Financieras
649202;Actividades De Crédito Prendario
649203;Cajas De Compensación
649209;Otras Actividades De Concesión De Crédito N.C.P.
649900;Otras Actividades De Servicios Financieros, Excepto Las De Seguros Y Fondos De Pensiones N.C.P.
651100;Seguros De Vida
651210;Seguros Generales, Excepto Actividades De Isapres
651220;Actividades De Isapres
652000;Reaseguros
653000;Fondos De Pensiones
661100;Administración De Mercados Financieros
661201;Actividades De Securitizadoras
661202;Corredores De Bolsa
661203;Agentes De Valores
661204;Actividades De Casas De Cambio Y Operadores De Divisa
661209;Otros Servicios De Corretaje De Valores Y Commodities N.C.P.
661901;Actividades De Cámaras De Compensación
661902;Administración De Tarjetas De Crédito
661903;"Empresas De Asesoría Y Consultoría En Inversión Financiera; Sociedades De Apoyo Al Giro"
661904;Actividades De Clasificadoras De Riesgo
661909;Otras Actividades Auxiliares De Las Actividades De Servicios Financieros N.C.P.
662100;Evaluación De Riesgos Y Daños (Incluye Actividades De Liquidadores De Seguros)
662200;Actividades De Agentes Y Corredores De Seguros
662900;Otras Actividades Auxiliares De Las Actividades De Seguros Y Fondos De Pensiones
663010;Administradoras De Fondos De Pensiones (Afp)
663091;Administradoras De Fondos De Inversión
663092;Administradoras De Fondos Mutuos
663093;Administradoras De Fices (Fondos De Inversión De Capital Extranjero)
663094;Administradoras De Fondos Para La Vivienda
663099;Administradoras De Fondos Para Otros Fines N.C.P.
681011;Alquiler De Bienes Inmuebles Amoblados O Con Equipos Y Maquinarias
681012;Compra, Venta Y Alquiler (Excepto Amoblados) De Inmuebles
681020;Servicios Imputados De Alquiler De Viviendas
682000;Actividades Inmobiliarias Realizadas A Cambio De Una Retribución O Por Contrata
691001;Servicios De Asesoramiento Y Representación Jurídica
691002;Servicio Notarial
691003;Conservador De Bienes Raíces
691004;Receptores Judiciales
691009;"Servicios De Arbitraje; Síndicos De Quiebra Y Peritos Judiciales; Otras Actividades Jurídicas N.C.P."
692000;"Actividades De Contabilidad, Teneduría De Libros Y Auditoría; Consultoría Fiscal"
701000;Actividades De Oficinas Principales
702000;Actividades De Consultoría De Gestión
711001;Servicios De Arquitectura (Diseño De Edificios, Dibujo De Planos De Construcción, Entre Otros)
711002;Empresas De Servicios De Ingeniería Y Actividades Conexas De Consultoría Técnica 
711003;Servicios Profesionales De Ingeniería Y Actividades Conexas De Consultoría Técnica 
712001;Actividades De Plantas De Revisión Técnica Para Vehículos Automotores
712009;Otros Servicios De Ensayos Y Análisis Técnicos (Excepto Actividades De Plantas De Revisión Técnica)
721000;Investigaciones Y Desarrollo Experimental En El Campo De Las Ciencias Naturales Y La Ingeniería
722000;Investigaciones Y Desarrollo Experimental En El Campo De Las Ciencias Sociales Y Las Humanidades
731001;Servicios De Publicidad Prestados Por Empresas
731002;Servicios De Publicidad Prestados Por Profesionales
732000;Estudios De Mercado Y Encuestas De Opinión Pública
741001;Actividades De Diseño De Vestuario
741002;Actividades De Diseño Y Decoración De Interiores
741009;Otras Actividades Especializadas De Diseño N.C.P.
742001;Servicios De Revelado, Impresión Y Ampliación De Fotografías
742002;Servicios Y Actividades De Fotografía 
742003;Servicios Personales De Fotografía 
749001;Asesoría Y Gestión En La Compra O Venta De Pequeñas Y Medianas Empresas
749002;Servicios De Traducción E Interpretación Prestados Por Empresas
749003;Servicios Personales De Traducción E Interpretación
749004;Actividades De Agencias Y Agentes De Representación De Actores, Deportistas Y Otras Figuras Públicas
749009;Otras Actividades Profesionales, Científicas Y Técnicas N.C.P.
750001;Actividades De Clínicas Veterinarias
750002;Actividades De Veterinarios, Técnicos Y Otro Personal Auxiliar, Prestados De Forma Independiente
771000;Alquiler De Vehículos Automotores Sin Chofer
772100;Alquiler Y Arrendamiento De Equipo Recreativo Y Deportivo
772200;Alquiler De Cintas De Video Y Discos
772900;Alquiler De Otros Efectos Personales Y Enseres Domésticos (Incluye Mobiliario Para Eventos)
773001;Alquiler De Equipos De Transporte Sin Operario, Excepto Vehículos Automotores
773002;Alquiler De Maquinaria Y Equipo Agropecuario, Forestal, De Construcción E Ing. Civil, Sin Operarios
773003;Alquiler De Maquinaria Y Equipo De Oficina, Sin Operarios (Sin Servicio Administrativo)
773009;Alquiler De Otros Tipos De Maquinarias Y Equipos Sin Operario N.C.P.
774000;Arrendamiento De Propiedad Intelectual Y Similares, Excepto Obras Protegidas Por Derechos De Autor
781000;Actividades De Agencias De Empleo
782000;Actividades De Agencias De Empleo Temporal (Incluye Empresas De Servicios Transitorios)
783000;Otras Actividades De Dotación De Recursos Humanos
791100;Actividades De Agencias De Viajes
791200;Actividades De Operadores Turísticos
799000;Otros Servicios De Reservas Y Actividades Conexas (Incluye Venta De Entradas Para Teatro, Y Otros)
801001;Servicios De Seguridad Privada Prestados Por Empresas
801002;Servicio De Transporte De Valores En Vehículos Blindados
801003;Servicios De Seguridad Privada Prestados Por Independientes
802000;Actividades De Servicios De Sistemas De Seguridad (Incluye Servicios De Cerrajería)
803000;Actividades De Investigación (Incluye Actividades De Investigadores Y Detectives Privados)
811000;Actividades Combinadas De Apoyo A Instalaciones
812100;Limpieza General De Edificios
812901;Desratización, Desinfección Y Exterminio De Plagas No Agrícolas
812909;Otras Actividades De Limpieza De Edificios E Instalaciones Industriales N.C.P.
813000;Actividades De Paisajismo, Servicios De Jardinería Y Servicios Conexos
821100;Actividades Combinadas De Servicios Administrativos De Oficina
821900;Fotocopiado, Preparación De Documentos Y Otras Actividades Especializadas De Apoyo De Oficina
822000;Actividades De Call-Center
823000;Organización De Convenciones Y Exposiciones Comerciales
829110;Actividades De Agencias De Cobro
829120;Actividades De Agencias De Calificación Crediticia
829200;Actividades De Envasado Y Empaquetado
829900;Otras Actividades De Servicios De Apoyo A Las Empresas N.C.P.
841100;Actividades De La Administración Pública En General
841200;Regulación De Las Actividades De Organismos Que Prestan Servicios Sanitarios, Educativos, Culturales
841300;Regulación Y Facilitación De La Actividad Económica
842100;Relaciones Exteriores
842200;Actividades De Defensa
842300;Actividades De Mantenimiento Del Orden Público Y De Seguridad
843010;Fondo Nacional De Salud (Fonasa) 
843020;Instituto De Previsión Social (Ips)
843090;Otros Planes De Seguridad Social De Afiliación Obligatoria N.C.P.
850011;Enseñanza Preescolar Pública
850012;Enseñanza Primaria, Secundaria Científico Humanista Y Técnico Profesional Pública
850021;Enseñanza Preescolar Privada
850022;Enseñanza Primaria, Secundaria Científico Humanista Y Técnico Profesional Privada
853110;Enseñanza Superior En Universidades Públicas
853120;Enseñanza Superior En Universidades Privadas
853201;Enseñanza Superior En Institutos Profesionales
853202;Enseñanza Superior En Centros De Formación Técnica
854100;Enseñanza Deportiva Y Recreativa
854200;Enseñanza Cultural
854901;Enseñanza Preuniversitaria
854902;Servicios Personales De Educación
854909;Otros Tipos De Enseñanza N.C.P.
855000;Actividades De Apoyo A La Enseñanza
861010;Actividades De Hospitales Y Clínicas Públicas
861020;Actividades De Hospitales Y Clínicas Privadas
862010;Actividades De Centros De Salud Municipalizados (Servicios De Salud Pública)
862021;Centros Médicos Privados (Establecimientos De Atención Ambulatoria)
862022;Centros De Atención Odontológica Privados (Establecimientos De Atención Ambulatoria)
862031;Servicios De Médicos Prestados De Forma Independiente
862032;Servicios De Odontólogos Prestados De Forma Independiente
869010;Actividades De Laboratorios Clínicos Y Bancos De Sangre
869091;Otros Servicios De Atención De La Salud Humana Prestados Por Empresas
869092;Servicios Prestados De Forma Independiente Por Otros Profesionales De La Salud
871000;Actividades De Atención De Enfermería En Instituciones
872000;Actividades De Atención En Instituciones Para Personas Con Discapacidad Mental Y Toxicómanos
873000;Actividades De Atención En Instituciones Para Personas De Edad Y Personas Con Discapacidad Física
879000;Otras Actividades De Atención En Instituciones
881000;Actividades De Asistencia Social Sin Alojamiento Para Personas De Edad Y Personas Con Discapacidad
889000;Otras Actividades De Asistencia Social Sin Alojamiento
900001;Servicios De Producción De Obras De Teatro, Conciertos, Espectáculos De Danza, Otras Prod. Escénicas
900002;Actividades Artísticas Realizadas Por Bandas De Música, Compañías De Teatro, Circenses Y Similares
900003;Actividades De Artistas Realizadas De Forma Independiente: Actores, Músicos, Escritores, Entre Otros
900004;Servicios Prestados Por Periodistas Independientes
900009;Otras Actividades Creativas, Artísticas Y De Entretenimiento N.C.P.
910100;Actividades De Bibliotecas Y Archivos
910200;Actividades De Museos, Gestión De Lugares Y Edificios Históricos
910300;Actividades De Jardines Botánicos, Zoológicos Y Reservas Naturales
920010;Actividades De Casinos De Juegos
920090;Otras Actividades De Juegos De Azar Y Apuestas N.C.P.
931101;Hipódromos
931102;"Gestión De Salas De Billar; Gestión De Salas De Bolos (Bowling)"
931109;Gestión De Otras Instalaciones Deportivas N.C.P.
931201;Actividades De Clubes De Fútbol Amateur Y Profesional
931209;Actividades De Otros Clubes Deportivos N.C.P.
931901;Promoción Y Organización De Competencias Deportivas
931909;Otras Actividades Deportivas N.C.P.
932100;Actividades De Parques De Atracciones Y Parques Temáticos
932901;"Gestión De Salas De Pool; Gestión (Explotación) De Juegos Electrónicos"
932909;Otras Actividades De Esparcimiento Y Recreativas N.C.P.
941100;Actividades De Asociaciones Empresariales Y De Empleadores
941200;Actividades De Asociaciones Profesionales
942000;Actividades De Sindicatos
949100;Actividades De Organizaciones Religiosas
949200;Actividades De Organizaciones Políticas
949901;Actividades De Centros De Madres
949902;Actividades De Clubes Sociales
949903;"Fundaciones Y Corporaciones; Asociaciones Que Promueven Actividades Culturales O Recreativas"
949904;Consejo De Administración De Edificios Y Condominios
949909;Actividades De Otras Asociaciones N.C.P.
951100;Reparación De Computadores Y Equipo Periférico
951200;Reparación De Equipo De Comunicaciones (Incluye La Reparación Teléfonos Celulares)
952100;Reparación De Aparatos Electrónicos De Consumo (Incluye Aparatos De Televisión Y Radio)
952200;Reparación De Aparatos De Uso Doméstico, Equipo Doméstico Y De Jardinería
952300;Reparación De Calzado Y De Artículos De Cuero
952400;Reparación De Muebles Y Accesorios Domésticos
952900;Reparación De Otros Efectos Personales Y Enseres Domésticos
960100;Lavado Y Limpieza, Incluida La Limpieza En Seco, De Productos Textiles Y De Piel
960200;Peluquería Y Otros Tratamientos De Belleza
960310;Servicios Funerarios
960320;Servicios De Cementerios
960901;Servicios De Adiestramiento, Guardería, Peluquería, Paseo De Mascotas (Excepto Act. Veterinarias)
960902;Actividades De Salones De Masajes, Baños Turcos, Saunas, Servicio De Baños Públicos
960909;Otras Actividades De Servicios Personales N.C.P.
970000;Actividades De Los Hogares Como Empleadores De Personal Doméstico
990000;Actividades De Organizaciones Y Órganos Extraterritoriales
